"","1","10","11","2","3","4","5","6","7","8","9"
"1",0.96829,0.58549,0.72712,-0.01595,-0.54518,-0.64638,-0.67232,-0.70297,-0.42165,0.16142,0.56213
"10",0.58549,1.01215,0.48956,-0.1682,-0.54204,-0.59855,-0.56762,-0.65109,-0.41038,0.22245,0.62824
"11",0.72712,0.48956,1.29135,-0.04282,-0.6015,-0.76668,-0.687,-0.62422,-0.44344,0.19955,0.45807
"2",-0.01595,-0.1682,-0.04282,0.72232,0.07934,0.04314,-0.07421,-0.30291,0.00889,-0.02453,-0.22508
"3",-0.54518,-0.54204,-0.6015,0.07934,0.68558,0.5793,0.55945,0.44856,0.3277,-0.32221,-0.669
"4",-0.64638,-0.59855,-0.76668,0.04314,0.5793,0.87928,0.66443,0.56065,0.46112,-0.44879,-0.72753
"5",-0.67232,-0.56762,-0.687,-0.07421,0.55945,0.66443,0.93708,0.62307,0.45143,-0.48286,-0.75145
"6",-0.70297,-0.65109,-0.62422,-0.30291,0.44856,0.56065,0.62307,1.41711,0.29788,-0.32461,-0.74148
"7",-0.42165,-0.41038,-0.44344,0.00889,0.3277,0.46112,0.45143,0.29788,0.68992,-0.31648,-0.64499
"8",0.16142,0.22245,0.19955,-0.02453,-0.32221,-0.44879,-0.48286,-0.32461,-0.31648,0.81096,0.52511
"9",0.56213,0.62824,0.45807,-0.22508,-0.669,-0.72753,-0.75145,-0.74148,-0.64499,0.52511,1.58598
